youtuber_name,video_title,video_address,video_thumbnail
씬님,클래식한 증명사진 메이크업 Feat. 시현하다｜SSIN,https://www.youtube.com/watch?v=GUvxgX201FQ,https://i.ytimg.com/vi/GUvxgX201FQ/maxresdefault.jpg
씬님,레트로 썸머 메이크업 | SSIN,https://www.youtube.com/watch?v=4wEzSVjvTTg,https://i.ytimg.com/vi/4wEzSVjvTTg/maxresdefault.jpg
씬님,핑크살몬 혜성 메이크업 [커밋뷰티 페스티벌 안내] | SSIN,https://www.youtube.com/watch?v=6grx33EhQVw,https://i.ytimg.com/vi/6grx33EhQVw/maxresdefault.jpg
씬님,럭셔리 원브랜드 메이크업 : 조르지오 아르마니 Giorgio Armani one brand makeup | SSIN,https://www.youtube.com/watch?v=21jFJGQKLbI,https://i.ytimg.com/vi/21jFJGQKLbI/maxresdefault.jpg
씬님,👙핑크극복프로젝트👙1.핫핑크 Overcoming the fear of PINK : Hot pink | SSIN,https://www.youtube.com/watch?v=KcrMVkX_xBY,https://i.ytimg.com/vi/KcrMVkX_xBY/maxresdefault.jpg
씬님,두아리파st 파워풀 무드 메이크업 | SSIN,https://www.youtube.com/watch?v=iPBWoK2PqRs,https://i.ytimg.com/vi/iPBWoK2PqRs/maxresdefault.jpg
씬님,따스한 LA햇살에 비친 🌴Beach🌴 메이크업 (feat.박PD) | SSIN,https://www.youtube.com/watch?v=XOoF3qtbC50,https://i.ytimg.com/vi/XOoF3qtbC50/maxresdefault.jpg
씬님,혹시 ‘글로시에(Glossier)’ 화장품 써보신분 계신가요 | SSIN,https://www.youtube.com/watch?v=11I8B_z48ZE,https://i.ytimg.com/vi/11I8B_z48ZE/maxresdefault.jpg
씬님,LA에서 데일리 메이크업하고 선글라스 써버림｜SSIN,https://www.youtube.com/watch?v=x1DfMkNBh4E,https://i.ytimg.com/vi/x1DfMkNBh4E/maxresdefault.jpg
씬님,씬님스튜디오 첫 직원평가 치열한 경쟁의 승자는..?  | SSIN,https://www.youtube.com/watch?v=vOFhNet92Os,https://i.ytimg.com/vi/vOFhNet92Os/maxresdefault.jpg
씬님,🇮🇩인도네시아에서 같이 화장하자! 시상식용 겟레디윗미 | SSIN,https://www.youtube.com/watch?v=Q9rRWCNd5Go,https://i.ytimg.com/vi/Q9rRWCNd5Go/maxresdefault.jpg
씬님,우주최강 존예 화장품 브랜드 '팻 맥그래스랩'을 리뷰해보았다 | SSIN,https://www.youtube.com/watch?v=Chou-Kz0zfw,https://i.ytimg.com/vi/Chou-Kz0zfw/maxresdefault.jpg
씬님,100만원짜리 발렌시아가 스피드러너 신고 똥 밟았습니다 | SSIN,https://www.youtube.com/watch?v=1weGon77Ysk,https://i.ytimg.com/vi/1weGon77Ysk/maxresdefault.jpg
씬님,"6교시 : 학교생활, 알바생활, 자취집 구하기 꿀팁 전수! 선배들이 알려준다! | SSIN",https://www.youtube.com/watch?v=afPXybbypis,https://i.ytimg.com/vi/afPXybbypis/maxresdefault.jpg
씬님,5교시 : 고등학생에서 대학생으로!! 닥터씬의 새내기 메이크업 | SSIN,https://www.youtube.com/watch?v=5qSrzm2GtAU,https://i.ytimg.com/vi/5qSrzm2GtAU/maxresdefault.jpg
씬님,"4-1교시 : 적을알고 나를알라, 술의 맛과 종류를 리뷰해 보자! | SSIN",https://www.youtube.com/watch?v=xqe6qVhxG-o,https://i.ytimg.com/vi/xqe6qVhxG-o/maxresdefault.jpg
씬님,4-2교시 : 총 560도 양주를 마시고 우주로 간 새내기 | SSIN,https://www.youtube.com/watch?v=pbbo0DhuBlc,https://i.ytimg.com/vi/pbbo0DhuBlc/maxresdefault.jpg
씬님,3교시 : 올로드샵 클럽 메이크업하고 클럽 메이드가서 생긴일 | SSIN,https://www.youtube.com/watch?v=VxRacPVY61Y,https://i.ytimg.com/vi/VxRacPVY61Y/maxresdefault.jpg
씬님,2교시 : 스무살 영주님 존좋템으로 화장했는데 학부모가 된 씬님 | SSIN,https://www.youtube.com/watch?v=dxMtqwWhWXA,https://i.ytimg.com/vi/dxMtqwWhWXA/maxresdefault.jpg
