title,div,cate,cate_link,cate_flag
BODY·HAIR,피부고민별,트러블/여드름,goods/goodsList.do?catCd=4000000056&flag=4000000254,4000000254
BODY·HAIR,피부고민별,피부결,goods/goodsList.do?catCd=4000000056&flag=4000000255,4000000255
BODY·HAIR,푸드라인업,굿파더,goods/foodLineUp.do?catCd=4000000299,4000000255
BODY·HAIR,푸드라인업,그린티,goods/foodLineUp.do?catCd=4000000088,4000000255
BODY·HAIR,푸드라인업,레몬 버베나,goods/foodLineUp.do?catCd=4000000329,4000000255
BODY·HAIR,푸드라인업,로즈,goods/foodLineUp.do?catCd=4000000101,4000000255
BODY·HAIR,푸드라인업,밀크,goods/foodLineUp.do?catCd=4000000111,4000000255
BODY·HAIR,푸드라인업,시어버터,goods/foodLineUp.do?catCd=4000000138,4000000255
BODY·HAIR,푸드라인업,아르간오일,goods/foodLineUp.do?catCd=4000000141,4000000255
BODY·HAIR,푸드라인업,퀴노아,goods/foodLineUp.do?catCd=4000000174,4000000255
BODY·HAIR,푸드라인업,포도씨 오일,goods/foodLineUp.do?catCd=4000000189,4000000255
BODY·HAIR,푸드라인업,허니,goods/foodLineUp.do?catCd=4000000197,4000000255
MEN,유형별,쉐이빙/클렌징,goods/goodsList.do?catCd=4000000068&flag=4000000069,4000000069
MEN,유형별,팩/마스크,goods/goodsList.do?catCd=4000000068&flag=4000000070,4000000070
MEN,유형별,토너,goods/goodsList.do?catCd=4000000068&flag=4000000071,4000000071
MEN,유형별,에멀전,goods/goodsList.do?catCd=4000000068&flag=4000000072,4000000072
MEN,유형별,플루이드,goods/goodsList.do?catCd=4000000068&flag=4000000073,4000000073
MEN,유형별,에센스/크림,goods/goodsList.do?catCd=4000000068&flag=4000000074,4000000074
MEN,유형별,메이크업/선케어,goods/goodsList.do?catCd=4000000068&flag=4000000075,4000000075
MEN,유형별,세트상품,goods/goodsList.do?catCd=4000000068&flag=4000000306,4000000306
MEN,피부고민별,각질,goods/goodsList.do?catCd=4000000068&flag=4000000246,4000000246
MEN,피부고민별,기미/잡티/칙칙한안색,goods/goodsList.do?catCd=4000000068&flag=4000000247,4000000247
MEN,피부고민별,다크서클,goods/goodsList.do?catCd=4000000068&flag=4000000248,4000000248
MEN,피부고민별,모공/피지,goods/goodsList.do?catCd=4000000068&flag=4000000249,4000000249
MEN,피부고민별,민감,goods/goodsList.do?catCd=4000000068&flag=4000000250,4000000250
MEN,피부고민별,보습,goods/goodsList.do?catCd=4000000068&flag=4000000251,4000000251
MEN,피부고민별,수분/진정,goods/goodsList.do?catCd=4000000068&flag=4000000252,4000000252
MEN,피부고민별,탄력/피부노화,goods/goodsList.do?catCd=4000000068&flag=4000000253,4000000253
MEN,피부고민별,트러블/여드름,goods/goodsList.do?catCd=4000000068&flag=4000000254,4000000254
MEN,피부고민별,피부결,goods/goodsList.do?catCd=4000000068&flag=4000000255,4000000255
MEN,푸드라인업,복분자,goods/foodLineUp.do?catCd=4000000116,4000000255
MEN,푸드라인업,블랙슈가,goods/foodLineUp.do?catCd=4000000122,4000000255
MEN,푸드라인업,수박,goods/foodLineUp.do?catCd=4000000133,4000000255
MEN,푸드라인업,수분베리,goods/foodLineUp.do?catCd=4000000134,4000000255
MEN,푸드라인업,잉카 오메가,goods/foodLineUp.do?catCd=4000000162,4000000255
MEN,푸드라인업,자작나무수액,goods/foodLineUp.do?catCd=4000000164,4000000255
MEN,푸드라인업,티트리,goods/foodLineUp.do?catCd=4000000178,4000000255
MEN,푸드라인업,풋사과,goods/foodLineUp.do?catCd=4000000191,4000000255
