youtuber_name,video_id,update,description
씬님,/watch?v=zUZNO_WCwMs,"Published on Apr 7, 2017","♥ This video segment is 100% SPONSOR FREE.

♥ Hi guys, this is SSIN. Today, we're doing the episode of the One Brand series! The brand is #YvesSaintLaurent. I bought  a lot of kinds of YSL cosmetics for you guys! We found quite a few QBS's so stay tuned till the end of the video! Let’s start!

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you! 


[Follow me on SNS]

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=S7e1a7AmfyQ,"Published on Apr 4, 2017","♥ Hi guys this is SSIN. Today, we’re doing a Beast makeup inspired by the live action movie starring Emma Watson.  Actually I’m more a Little Mermaid fan than the Beauty and the Beast. Anyway, my Belle inspired makeup look will be up on my SSIN’s NEW RECORDS channel. Let’s go !

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS]

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=HrqjlUlnsbM,"Published on Mar 30, 2017","♥ Hi guys this is SSIN. Today, we’re doing a collab video (with Yoon Charmi) We’re gonna do makeup using each other’s favorites and routines. I’ve never looked like this! My first time ever. So let's start!


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=w7hwT27djT0,"Published on Mar 23, 2017","♥ Hi guys this is SSIN. Remember the makeup box I curated in collab with a few brands? I’m back with another set of my favorite products for 70% less. I’m gonna show you the tutorial using this items. 

This is the items. 
: Luna(marbling pact,  foundation)
: Real Techniques (Miracle Sculpting sponge)
: Labiotte (two blushers)
: CLIO (mad matte lipstick)

Stay tuned for my box with 4 products for a steal. And now I’m gonna show you muted pink makeup using the products in it. Let’s start !



♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!



[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=3_DEAfsr8uE,"Published on Mar 22, 2017","♥ Hi guys this is SSIN. Today, I’m back with the second look inspired by BLACKPINK. It’s ROSE, the girl with the inescapable charms! Stay tuned for Rose inspired glittery coral pink makeup. 

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=iVt0lLgn5c4,"Published on Mar 17, 2017","♥ Hi guys this is SSIN. This is my another collab video with Peripera.
We’re back to school, so I’m showing you a glittery semi smokey makeup for both new and returning students.
It seems difficult but it’s really simple. I’m gonna explain it in depth so take notes! Let’s begin.

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!



[Follow me on SNS]

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=EmWoQ08alqs,"Published on Mar 13, 2017","♥ This video is sponsored.

♥ Hi guys this is SSIN. Today, I'm gonna get ready with @RickyKazaf 
using GUCCI new s/s collection. Hope they come to Korea soon.


♥ #Guccibeauty cosmetics is available in HK and Macau in Asia.


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=MY5xUnSjoUI,"Published on Mar 10, 2017","♥ Hi guys this is SSIN. As a fan, I couldn’t not celebrate BTS’s comeback. The boys are back with ‘Spring Day’ and ‘Not Today’. It just happens that I did another Jimin inspired makeup tutorial. He has cotton candy pink hair and matching makeup look. So, let’s begin the tutorial!

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=O7S6jLbpi1U,"Published on Mar 2, 2017","♥ Hey guys this is SSIN. I’m gonna review something fun today. This is Unicorn horn brush collection from Unicorn Lashes! the brushes are in this diamond shaped zipper bag that reminds me of UNPR. It has iconic unicorn horn unicorn mane. Let's open!



♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=FLUl6OmDKQw,"Published on Feb 27, 2017","♥ Hey guys this is SSIN. Finally I’m back with HOW MANY DOES SSIN HAVE episode.2 #CUSHIONS! Over 10,000 ppl left comments on my Instagram, and let’s check out the answer in this video.

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
